ID,Total_Screentime,Average_Total_Screentime
1010107,21.5,19.36
1010108,12.0,19.36
1010109,9.0,19.36
1010110,7.5,19.36
1010111,17.0,19.36
1010112,10.0,19.36
1010113,9.0,19.36
1010114,42.0,19.36
1010115,36.0,19.36
1010116,10.0,19.36
1010117,21.0,19.36
1010118,19.0,19.36
1010120,20.0,19.36
1010121,18.0,19.36
1010122,11.5,19.36
1010123,32.0,19.36
1010124,14.0,19.36
1010125,21.5,19.36
1010126,24.5,19.36
1010127,12.0,19.36
1010128,41.0,19.36
1010129,8.5,19.36
1010130,16.0,19.36
1010131,14.5,19.36
1010132,13.0,19.36
1010133,14.0,19.36
1010134,31.5,19.36
1010135,21.0,19.36
1010136,26.0,19.36
1010137,20.0,19.36
1010138,27.0,19.36
1010140,40.0,19.36
1010141,24.0,19.36
1010142,19.0,19.36
1010144,23.0,19.36
1010145,15.0,19.36
1010147,11.0,19.36
1010148,16.5,19.36
1010149,25.5,19.36
1010150,13.5,19.36
1010151,38.0,19.36
1010152,27.0,19.36
1010153,7.5,19.36
1010154,20.0,19.36
1010155,11.0,19.36
1010156,22.0,19.36
1010157,28.5,19.36
1010158,18.0,19.36
1010159,27.0,19.36
1010160,39.0,19.36
1010161,25.0,19.36
1010162,10.5,19.36
1010163,32.0,19.36
1010164,14.0,19.36
1010165,16.0,19.36
1010166,8.0,19.36
1010168,20.0,19.36
1010169,10.5,19.36
1010170,18.0,19.36
1010171,21.0,19.36
1010172,28.0,19.36
1010173,22.0,19.36
1010174,27.5,19.36
1010175,21.0,19.36
1010176,22.0,19.36
1010177,13.0,19.36
1010178,41.0,19.36
1010179,13.5,19.36
1010180,17.0,19.36
1010181,16.5,19.36
1010182,17.0,19.36
1010184,29.0,19.36
1010185,14.0,19.36
1010186,24.0,19.36
1010187,15.0,19.36
1010188,18.5,19.36
1010189,20.0,19.36
1010190,23.0,19.36
1010191,20.0,19.36
1010192,18.0,19.36
1010193,32.0,19.36
1010194,18.0,19.36
1010195,27.0,19.36
1010196,25.0,19.36
1010197,20.0,19.36
1010198,13.0,19.36
1010199,28.0,19.36
1010200,21.0,19.36
1010201,24.0,19.36
1010202,27.0,19.36
1010203,33.0,19.36
1010205,22.0,19.36
1010206,30.0,19.36
1010207,14.5,19.36
1010208,22.0,19.36
1010209,11.5,19.36
1010210,33.0,19.36
1010211,8.5,19.36
1010212,14.0,19.36
1010213,29.0,19.36
1010214,11.0,19.36
1010215,28.0,19.36
1010216,24.0,19.36
1010217,15.0,19.36
1010218,16.0,19.36
1010219,10.5,19.36
1010220,11.0,19.36
1010221,10.5,19.36
1010223,27.0,19.36
1010224,15.0,19.36
1010225,25.0,19.36
1010226,22.0,19.36
1010227,16.5,19.36
1010228,8.5,19.36
1010229,29.0,19.36
1010230,21.0,19.36
1010231,8.5,19.36
1010232,19.5,19.36
1010233,36.0,19.36
1010234,12.0,19.36
1010235,11.0,19.36
1010236,11.0,19.36
1010237,14.0,19.36
1010239,8.5,19.36
1010240,14.5,19.36
1010241,21.0,19.36
1010242,51.0,19.36
1010243,19.0,19.36
1010244,17.0,19.36
1010245,30.0,19.36
1010246,11.5,19.36
1010247,13.0,19.36
1010248,18.5,19.36
1010249,32.0,19.36
1010250,15.0,19.36
1010251,19.0,19.36
1010252,8.0,19.36
1010253,18.0,19.36
1010254,18.0,19.36
1010255,17.5,19.36
1010256,21.5,19.36
1010257,13.5,19.36
1010258,16.0,19.36
1010259,11.0,19.36
1010260,19.5,19.36
1010261,16.0,19.36
1010262,38.0,19.36
1010263,19.5,19.36
1010264,30.0,19.36
1010265,16.5,19.36
1010266,17.0,19.36
1010267,29.0,19.36
1010268,20.5,19.36
1010269,24.0,19.36
1010270,12.0,19.36
1010271,18.0,19.36
1010272,10.0,19.36
1010273,8.5,19.36
1010274,29.0,19.36
1010275,15.0,19.36
1010276,15.5,19.36
1010277,16.0,19.36
1010278,24.0,19.36
1010279,16.0,19.36
1010280,10.0,19.36
1010281,25.0,19.36
1010282,19.0,19.36
1010283,11.5,19.36
1010284,22.0,19.36
1010286,14.0,19.36
1010287,26.5,19.36
1010288,23.0,19.36
1010289,15.5,19.36
1010290,10.0,19.36
1010291,9.0,19.36
1010292,38.0,19.36
1010293,19.0,19.36
1010294,22.0,19.36
1010295,47.0,19.36
1010296,12.0,19.36
1010297,27.0,19.36
1010298,32.0,19.36
1010299,21.0,19.36
1010300,11.0,19.36
1010302,38.0,19.36
1010303,24.0,19.36
1010304,4.0,19.36
1010305,21.0,19.36
1010306,21.0,19.36
1010307,14.5,19.36
1010308,15.0,19.36
1010309,14.0,19.36
1010310,16.0,19.36
1010311,32.0,19.36
1010312,18.0,19.36
1010313,17.0,19.36
1010314,5.0,19.36
1010315,16.0,19.36
1010316,23.5,19.36
1010317,15.0,19.36
1010318,20.0,19.36
1010319,15.5,19.36
1010320,15.5,19.36
1010321,12.0,19.36
1010322,16.0,19.36
1010323,18.0,19.36
1010324,21.0,19.36
1010325,15.5,19.36
1010326,15.0,19.36
1010327,20.0,19.36
1010328,42.0,19.36
1010329,26.0,19.36
1010330,12.0,19.36
1010331,15.5,19.36
1010332,8.0,19.36
1010333,17.0,19.36
1010334,11.0,19.36
1010336,12.0,19.36
1010338,38.0,19.36
1010339,10.0,19.36
1010340,36.0,19.36
1010341,6.5,19.36
1010342,15.5,19.36
1010343,13.0,19.36
1010344,20.5,19.36
1010345,17.0,19.36
1010346,6.0,19.36
1010347,16.0,19.36
1010348,18.0,19.36
1010349,23.0,19.36
1010350,27.5,19.36
1010351,14.5,19.36
1010353,23.0,19.36
1010354,31.0,19.36
1010355,38.0,19.36
1010357,11.0,19.36
1010358,13.0,19.36
1010359,20.0,19.36
1010360,11.0,19.36
1010361,27.0,19.36
1010362,13.5,19.36
1010363,35.0,19.36
1010364,27.0,19.36
1010365,9.5,19.36
1010366,18.0,19.36
1010367,17.0,19.36
1010368,26.0,19.36
1010369,11.5,19.36
1010371,16.0,19.36
1010372,10.5,19.36
1010373,17.0,19.36
1010374,16.0,19.36
1010375,8.0,19.36
1010376,27.0,19.36
1010377,12.5,19.36
1010378,21.5,19.36
1010382,18.5,19.36
1010383,24.0,19.36
1010384,17.5,19.36
1010386,11.0,19.36
1010387,7.5,19.36
1010389,16.5,19.36
1010390,18.0,19.36
1010391,14.0,19.36
1010392,13.0,19.36
1010393,26.5,19.36
1010394,17.0,19.36
1010395,21.0,19.36
1010396,23.0,19.36
1010398,27.5,19.36
1010399,19.5,19.36
1010400,7.0,19.36
1010401,32.5,19.36
1010402,22.0,19.36
1010404,15.5,19.36
1010405,10.5,19.36
1010406,15.0,19.36
1010407,6.0,19.36
1010408,18.0,19.36
1010409,6.0,19.36
1010410,17.0,19.36
1010411,30.5,19.36
1010412,9.0,19.36
1010413,11.0,19.36
1010414,16.0,19.36
1010417,31.0,19.36
1010418,10.5,19.36
1010419,16.0,19.36
1010420,28.0,19.36
1010421,13.0,19.36
1010422,18.0,19.36
1010423,15.0,19.36
1010424,10.0,19.36
1010425,7.5,19.36
1010426,11.0,19.36
1010427,12.5,19.36
1010429,12.5,19.36
1010430,15.0,19.36
1010431,18.5,19.36
1010432,15.0,19.36
1010433,33.5,19.36
1010434,9.0,19.36
1010435,23.0,19.36
1010436,15.5,19.36
1010437,14.5,19.36
1010438,28.0,19.36
1010439,23.5,19.36
1010440,21.0,19.36
1010441,37.0,19.36
1010442,16.0,19.36
1010443,7.0,19.36
1010444,22.0,19.36
1010445,11.5,19.36
1010446,20.0,19.36
1010447,4.0,19.36
1010448,22.0,19.36
1010449,15.5,19.36
1010451,14.0,19.36
1010452,13.0,19.36
1010453,13.0,19.36
1010454,12.0,19.36
1010455,4.5,19.36
1010456,16.0,19.36
1010457,16.0,19.36
1010458,18.5,19.36
1010459,10.0,19.36
1010460,12.0,19.36
1010461,16.0,19.36
1010462,15.0,19.36
1010463,6.0,19.36
1010464,6.5,19.36
1010465,25.0,19.36
1010466,6.0,19.36
1010467,5.5,19.36
1010468,19.0,19.36
1010469,11.5,19.36
1010470,7.5,19.36
1010471,21.0,19.36
1010474,3.5,19.36
1010475,22.5,19.36
1010476,11.0,19.36
1010477,9.0,19.36
1010479,22.0,19.36
1010480,26.5,19.36
1010481,28.0,19.36
1010482,8.0,19.36
1010483,18.0,19.36
1010484,8.0,19.36
1010485,26.0,19.36
1010486,24.0,19.36
1010487,18.0,19.36
1010488,37.0,19.36
1010489,23.0,19.36
1010490,17.5,19.36
1010491,9.5,19.36
1010492,32.0,19.36
1010493,25.0,19.36
1010494,12.0,19.36
1010496,10.0,19.36
1010497,9.5,19.36
1010498,22.5,19.36
1010499,15.5,19.36
1010500,7.0,19.36
1010501,25.0,19.36
1010502,18.0,19.36
1010503,17.5,19.36
1010504,40.0,19.36
1010505,12.0,19.36
1010506,38.0,19.36
1010507,12.5,19.36
1010508,15.0,19.36
1010509,10.5,19.36
1010510,22.0,19.36
1010511,6.0,19.36
1010512,8.5,19.36
1010513,11.5,19.36
1010514,15.0,19.36
1010515,34.0,19.36
1010516,22.0,19.36
1010517,21.0,19.36
1010518,22.5,19.36
1010519,28.0,19.36
1010520,9.5,19.36
1010521,18.0,19.36
1010522,12.5,19.36
1010523,33.0,19.36
1010524,33.5,19.36
1010525,29.0,19.36
1010526,41.0,19.36
1010527,14.0,19.36
1010528,10.0,19.36
1010529,15.0,19.36
1010530,19.5,19.36
1010531,9.0,19.36
1010532,6.5,19.36
1010533,19.0,19.36
1010534,11.5,19.36
1010535,12.0,19.36
1010536,7.0,19.36
1010538,22.5,19.36
1010539,9.0,19.36
1010540,11.0,19.36
1010541,39.0,19.36
1010542,10.5,19.36
1010543,8.5,19.36
1010544,13.0,19.36
1010545,30.0,19.36
1010546,16.5,19.36
1010548,26.0,19.36
1010549,9.0,19.36
1010550,32.0,19.36
1010551,23.5,19.36
1010552,5.0,19.36
1010553,20.0,19.36
1010554,20.5,19.36
1010555,9.0,19.36
1010556,20.0,19.36
1010557,42.0,19.36
1010558,23.5,19.36
1010559,21.0,19.36
1010560,24.0,19.36
1010561,8.5,19.36
1010562,6.0,19.36
1010563,10.0,19.36
1010564,14.5,19.36
1010565,6.5,19.36
1010566,10.0,19.36
1010567,9.5,19.36
1010568,29.0,19.36
1010569,12.0,19.36
1010570,26.0,19.36
1010571,24.5,19.36
1010572,31.0,19.36
1010573,12.0,19.36
1010574,17.0,19.36
1010575,10.5,19.36
1010576,16.0,19.36
1010577,18.0,19.36
1010578,2.5,19.36
1010579,12.0,19.36
1010580,13.5,19.36
1010581,8.5,19.36
1010582,11.5,19.36
1010583,16.0,19.36
1010584,14.0,19.36
1010585,21.0,19.36
1010586,38.5,19.36
1010587,11.0,19.36
1010588,10.5,19.36
1010589,22.0,19.36
1010590,18.5,19.36
1010591,24.5,19.36
1010592,15.0,19.36
1010593,21.5,19.36
1010594,21.0,19.36
1010595,13.0,19.36
1010596,20.0,19.36
1010597,14.0,19.36
1010598,8.5,19.36
1010599,15.5,19.36
1010600,10.0,19.36
1010601,6.0,19.36
1010602,17.0,19.36
1010603,22.5,19.36
1010604,13.0,19.36
1010605,31.0,19.36
1010606,4.0,19.36
1010607,34.0,19.36
1010608,18.0,19.36
1010609,11.0,19.36
1010610,12.0,19.36
1010611,22.0,19.36
1010612,47.0,19.36
1010613,20.5,19.36
1010614,22.0,19.36
1010615,18.5,19.36
1010616,20.5,19.36
1010617,7.0,19.36
1010618,23.0,19.36
1010619,23.0,19.36
1010620,30.0,19.36
1010621,14.0,19.36
1010622,35.5,19.36
1010623,32.0,19.36
1010624,9.0,19.36
1010625,20.5,19.36
1010626,16.0,19.36
1010627,16.0,19.36
1010628,7.0,19.36
1010629,7.5,19.36
1010630,15.0,19.36
1010631,11.0,19.36
1010632,9.0,19.36
1010633,12.0,19.36
1010634,1.0,19.36
1010635,16.0,19.36
1010636,18.0,19.36
1010637,20.0,19.36
1010638,28.0,19.36
1010639,16.0,19.36
1010640,24.5,19.36
1010641,15.0,19.36
1010642,23.0,19.36
1010643,18.0,19.36
1010644,19.0,19.36
1010645,12.0,19.36
1010647,10.0,19.36
1010648,11.5,19.36
1010649,16.0,19.36
1010650,15.0,19.36
1010651,12.0,19.36
1010652,16.0,19.36
1010653,32.0,19.36
1010654,28.5,19.36
1010655,27.0,19.36
1010656,19.0,19.36
1010657,10.5,19.36
1010658,33.5,19.36
1010659,21.0,19.36
1010661,28.0,19.36
1010662,12.5,19.36
1010663,4.0,19.36
1010664,35.0,19.36
1010665,29.0,19.36
1010666,13.5,19.36
1010667,26.0,19.36
1010668,14.5,19.36
1010669,25.0,19.36
1010670,5.0,19.36
1010671,12.0,19.36
1010672,11.0,19.36
1010673,16.5,19.36
1010674,14.0,19.36
1010675,11.5,19.36
1010676,18.0,19.36
1010677,17.5,19.36
1010678,19.0,19.36
1010679,12.5,19.36
1010680,32.5,19.36
1010681,3.5,19.36
1010682,25.0,19.36
1010683,18.5,19.36
1010684,28.5,19.36
1010686,20.0,19.36
1010687,6.5,19.36
1010688,17.0,19.36
1010689,40.5,19.36
1010690,25.0,19.36
1010691,23.0,19.36
1010692,19.5,19.36
1010693,12.0,19.36
1010694,12.0,19.36
1010695,27.0,19.36
1010696,19.5,19.36
1010697,23.5,19.36
1010698,10.5,19.36
1010699,26.0,19.36
1010700,28.0,19.36
1010701,10.5,19.36
1010702,17.0,19.36
1010703,9.0,19.36
1010704,15.5,19.36
1010705,9.0,19.36
1010706,23.0,19.36
1010707,16.0,19.36
1010708,16.0,19.36
1010710,19.0,19.36
1010711,28.5,19.36
1010712,13.0,19.36
1010713,8.0,19.36
1010714,18.5,19.36
1010715,15.0,19.36
1010716,22.0,19.36
1010717,5.0,19.36
1010718,32.0,19.36
1010719,13.0,19.36
1010720,7.5,19.36
1010721,20.5,19.36
1010722,14.0,19.36
1010724,6.0,19.36
1010725,14.0,19.36
1010726,14.0,19.36
1010727,18.0,19.36
1010728,12.0,19.36
1010729,21.0,19.36
1010730,11.5,19.36
1010731,14.5,19.36
1010732,29.0,19.36
1010733,15.0,19.36
1010734,30.0,19.36
1010735,11.0,19.36
1010736,4.5,19.36
1010737,15.5,19.36
1010738,19.0,19.36
1010739,15.0,19.36
1010740,28.0,19.36
1010741,13.5,19.36
1010742,14.0,19.36
1010743,30.0,19.36
1010744,16.0,19.36
1010745,19.0,19.36
1010746,21.5,19.36
1010747,15.0,19.36
1010748,15.0,19.36
1010749,16.5,19.36
1010750,22.0,19.36
1010751,16.0,19.36
1010752,27.5,19.36
1010753,17.5,19.36
1010754,18.5,19.36
1010755,9.5,19.36
1010756,20.0,19.36
1010757,25.5,19.36
1010758,21.0,19.36
1010759,18.0,19.36
1010760,29.0,19.36
1010761,22.5,19.36
1010762,14.5,19.36
1010763,24.0,19.36
1010764,8.0,19.36
1010765,4.5,19.36
1010766,15.0,19.36
1010767,15.0,19.36
1010768,13.0,19.36
1010769,16.0,19.36
1010770,24.0,19.36
1010771,18.0,19.36
1010772,16.5,19.36
1010773,4.5,19.36
1010774,21.0,19.36
1010775,29.0,19.36
1010776,23.0,19.36
1010777,4.0,19.36
1010778,12.0,19.36
1010779,15.0,19.36
1010780,12.0,19.36
1010781,22.0,19.36
1010782,37.0,19.36
1010783,27.0,19.36
1010784,40.0,19.36
1010785,24.5,19.36
1010786,29.5,19.36
1010787,24.5,19.36
1010788,26.0,19.36
1010789,10.0,19.36
1010790,11.0,19.36
1010791,6.5,19.36
1010792,35.0,19.36
1010793,22.5,19.36
1010794,20.0,19.36
1010795,24.0,19.36
1010796,18.0,19.36
1010797,21.5,19.36
1010800,34.0,19.36
1010801,13.0,19.36
1010802,18.0,19.36
1010803,23.5,19.36
1010804,14.0,19.36
1010805,22.5,19.36
1010806,13.5,19.36
1010807,7.0,19.36
1010808,32.0,19.36
1010809,4.5,19.36
1010810,13.5,19.36
1010811,18.0,19.36
1010812,26.0,19.36
1010813,18.0,19.36
1010814,9.5,19.36
1010815,30.0,19.36
1010816,26.0,19.36
1010817,12.0,19.36
1010818,36.0,19.36
1010819,24.0,19.36
1010820,9.0,19.36
1010821,18.0,19.36
1010822,27.0,19.36
1010823,25.0,19.36
1010824,11.5,19.36
1010825,8.5,19.36
1010826,46.0,19.36
1010827,23.0,19.36
1010828,14.5,19.36
1010829,27.5,19.36
1010830,15.0,19.36
1010831,2.5,19.36
1010832,10.0,19.36
1010833,24.5,19.36
1010834,19.0,19.36
1010835,27.5,19.36
1010836,34.0,19.36
1010837,52.0,19.36
1010838,19.5,19.36
1010839,22.5,19.36
1010840,27.5,19.36
1010841,13.0,19.36
1010842,18.0,19.36
1010843,11.0,19.36
1010844,16.5,19.36
1010845,16.5,19.36
1010846,2.5,19.36
1010847,6.5,19.36
1010848,6.5,19.36
1010849,26.0,19.36
1010850,15.0,19.36
1010851,20.0,19.36
1010852,23.0,19.36
1010855,23.5,19.36
1010856,32.0,19.36
1010857,20.0,19.36
1010858,23.5,19.36
1010860,12.0,19.36
1010861,31.0,19.36
1010862,14.5,19.36
1010863,11.5,19.36
1010864,18.0,19.36
1010865,31.0,19.36
1010866,25.0,19.36
1010867,4.5,19.36
1010868,28.5,19.36
1010869,6.0,19.36
1010870,16.0,19.36
1010871,6.0,19.36
1010873,7.0,19.36
1010874,22.5,19.36
1010875,39.0,19.36
1010876,21.0,19.36
1010877,36.0,19.36
1010878,22.0,19.36
1010879,14.5,19.36
1010880,9.0,19.36
1010881,17.5,19.36
1010882,12.5,19.36
1010883,17.0,19.36
1010884,12.0,19.36
1010885,35.5,19.36
1010887,6.5,19.36
1010889,12.0,19.36
1010890,6.5,19.36
1010891,7.0,19.36
1010892,13.0,19.36
1010893,6.0,19.36
1010894,31.5,19.36
1010895,16.0,19.36
1010897,46.5,19.36
1010898,15.0,19.36
1010899,7.5,19.36
1010900,22.5,19.36
1010901,17.5,19.36
1010902,34.5,19.36
1010904,30.5,19.36
1010905,26.0,19.36
1010907,7.5,19.36
1010908,7.5,19.36
1010909,10.0,19.36
1010910,12.0,19.36
1010911,20.0,19.36
1010912,21.5,19.36
1010913,32.0,19.36
1010914,10.0,19.36
1010915,14.0,19.36
1010917,21.5,19.36
1010919,11.0,19.36
1010920,16.5,19.36
1010921,19.5,19.36
1010922,21.0,19.36
1010923,18.0,19.36
1010924,4.5,19.36
1010925,46.0,19.36
1010926,36.0,19.36
1010927,28.0,19.36
1010928,15.0,19.36
1010929,10.5,19.36
1010930,20.0,19.36
1010931,17.5,19.36
1010932,8.0,19.36
1010933,27.0,19.36
1010934,14.0,19.36
1010935,28.0,19.36
1010936,38.0,19.36
1010937,19.0,19.36
1010938,27.0,19.36
1010939,7.5,19.36
1010940,5.0,19.36
1010941,10.0,19.36
1010942,18.0,19.36
1010943,24.0,19.36
1010946,13.5,19.36
1010947,26.0,19.36
1010948,44.0,19.36
1010949,21.0,19.36
1010950,11.0,19.36
1010951,10.5,19.36
1010952,12.0,19.36
1010953,14.0,19.36
1010954,15.5,19.36
1010955,21.5,19.36
1010956,24.0,19.36
1010957,21.0,19.36
1010958,26.0,19.36
1010959,15.5,19.36
1010960,20.0,19.36
1010961,40.0,19.36
1010962,25.0,19.36
1010963,16.0,19.36
1010964,13.0,19.36
1010965,8.0,19.36
1010966,11.5,19.36
1010967,22.0,19.36
1010968,24.0,19.36
1010969,19.0,19.36
1010970,11.5,19.36
1010971,31.0,19.36
1010972,15.5,19.36
1010973,29.0,19.36
1010974,8.0,19.36
1010975,26.0,19.36
1010976,15.5,19.36
1010977,9.0,19.36
1010978,17.0,19.36
1010979,9.5,19.36
1010980,11.0,19.36
1010981,13.5,19.36
1010982,10.0,19.36
1010984,12.0,19.36
1010985,14.0,19.36
1010986,11.0,19.36
1010987,23.5,19.36
1010988,21.5,19.36
1010989,23.5,19.36
1010990,34.0,19.36
1010991,8.5,19.36
1010992,18.0,19.36
1010993,6.5,19.36
1010994,16.0,19.36
1010995,14.5,19.36
1010996,20.5,19.36
1010997,15.0,19.36
1010998,21.0,19.36
1011000,31.5,19.36
1011001,13.0,19.36
1011002,11.0,19.36
1011003,8.5,19.36
1011004,15.5,19.36
1011005,23.5,19.36
1011006,13.0,19.36
1011007,10.0,19.36
1011008,20.0,19.36
1011009,11.5,19.36
1011010,6.5,19.36
1011011,20.0,19.36
1011012,7.5,19.36
1011014,21.0,19.36
1011015,10.0,19.36
1011016,15.0,19.36
1011017,14.5,19.36
1011018,27.0,19.36
1011019,13.5,19.36
1011020,14.5,19.36
1011021,12.0,19.36
1011022,24.0,19.36
1011023,14.0,19.36
1011024,53.0,19.36
1011025,8.5,19.36
1011026,21.0,19.36
1011027,9.5,19.36
1011028,25.0,19.36
1011029,9.0,19.36
1011030,6.5,19.36
1011031,20.0,19.36
1011032,7.5,19.36
1011033,18.0,19.36
1011034,30.5,19.36
1011035,21.0,19.36
1011036,16.5,19.36
1011037,16.0,19.36
1011039,17.0,19.36
1011040,30.0,19.36
1011041,10.0,19.36
1011042,20.5,19.36
1011044,15.0,19.36
1011046,9.0,19.36
1011048,7.0,19.36
1011049,17.5,19.36
1011050,29.0,19.36
1011051,19.5,19.36
1011052,19.5,19.36
1011053,22.5,19.36
1011055,12.0,19.36
1011056,14.5,19.36
1011057,6.5,19.36
1011059,5.0,19.36
1011060,7.5,19.36
1011061,22.5,19.36
1011062,19.5,19.36
1011063,35.0,19.36
1011064,7.0,19.36
1011065,10.0,19.36
1011066,29.0,19.36
1011067,11.0,19.36
1011068,11.0,19.36
1011069,10.0,19.36
1011070,18.5,19.36
1011071,18.0,19.36
1011072,21.5,19.36
1011073,16.0,19.36
1011074,15.0,19.36
1011075,24.0,19.36
1011076,27.0,19.36
1011077,19.0,19.36
1011078,13.0,19.36
1011079,28.5,19.36
1011080,32.0,19.36
1011081,8.5,19.36
1011082,24.0,19.36
1011083,12.0,19.36
1011084,12.0,19.36
1011085,13.5,19.36
1011086,25.0,19.36
1011087,15.0,19.36
1011088,36.0,19.36
1011090,9.5,19.36
1011091,22.5,19.36
1011092,25.0,19.36
1011093,13.5,19.36
1011094,9.5,19.36
1011095,8.5,19.36
1011096,17.5,19.36
1011097,5.0,19.36
1011098,25.0,19.36
1011099,16.0,19.36
1011100,17.0,19.36
1011101,7.0,19.36
1011102,13.5,19.36
1011103,34.0,19.36
1011104,17.0,19.36
1011105,19.0,19.36
1011106,25.0,19.36
1011107,15.5,19.36
1011109,11.0,19.36
1011110,10.0,19.36
1011111,23.0,19.36
1011112,19.0,19.36
1011113,26.0,19.36
1011114,24.5,19.36
1011115,13.5,19.36
1011116,25.0,19.36
1011117,13.0,19.36
1011118,18.0,19.36
1011119,20.0,19.36
1011120,27.0,19.36
1011121,6.0,19.36
1011122,28.0,19.36
1011123,9.5,19.36
1011124,18.0,19.36
1011125,12.0,19.36
1011126,12.0,19.36
1011127,15.0,19.36
1011128,19.0,19.36
1011129,34.0,19.36
1011130,14.5,19.36
1011131,12.5,19.36
1011132,25.5,19.36
1011133,16.0,19.36
1011134,15.0,19.36
1011135,17.0,19.36
1011136,32.0,19.36
1011137,19.0,19.36
1011138,32.0,19.36
1011140,20.0,19.36
1011141,14.5,19.36
1011142,30.0,19.36
1011143,21.5,19.36
1011144,8.5,19.36
1011145,6.5,19.36
1011146,13.0,19.36
1011147,19.0,19.36
1011148,17.5,19.36
1011149,20.0,19.36
1011150,27.5,19.36
1011151,15.0,19.36
1011152,27.0,19.36
1011153,13.0,19.36
1011154,17.0,19.36
1011155,8.0,19.36
1011156,9.0,19.36
1011157,22.0,19.36
1011158,18.5,19.36
1011159,31.0,19.36
1011160,21.0,19.36
1011161,9.0,19.36
1011163,19.5,19.36
1011164,24.0,19.36
1011165,12.0,19.36
1011166,8.5,19.36
1011167,7.0,19.36
1011168,15.0,19.36
1011169,9.0,19.36
1011170,10.0,19.36
1011171,15.5,19.36
1011172,10.5,19.36
1011173,22.0,19.36
1011174,14.5,19.36
1011175,8.5,19.36
1011176,7.0,19.36
1011177,9.5,19.36
1011178,12.5,19.36
1011180,13.0,19.36
1011181,13.5,19.36
1011182,40.0,19.36
1011183,17.0,19.36
1011184,14.0,19.36
1011185,9.5,19.36
1011186,39.0,19.36
1011187,20.0,19.36
1011188,28.0,19.36
1011189,8.5,19.36
1011190,15.5,19.36
1011191,9.0,19.36
1011192,21.0,19.36
1011193,12.5,19.36
1011194,8.5,19.36
1011195,15.0,19.36
1011196,17.0,19.36
1011197,18.0,19.36
1011198,10.0,19.36
1011199,11.0,19.36
1011200,8.0,19.36
1011201,16.0,19.36
1011202,18.0,19.36
1011203,10.0,19.36
1011204,9.5,19.36
1011205,15.5,19.36
1011206,13.0,19.36
1011207,8.0,19.36
1011208,13.0,19.36
1011209,2.5,19.36
1011210,4.5,19.36
1011211,35.0,19.36
1011212,24.0,19.36
1011213,10.5,19.36
1011214,10.0,19.36
1011215,19.0,19.36
1011216,12.5,19.36
1011217,13.0,19.36
1011218,11.5,19.36
1011219,6.0,19.36
1011220,15.5,19.36
1011221,28.0,19.36
1011222,11.0,19.36
1011223,11.0,19.36
1011224,15.5,19.36
1011225,25.0,19.36
1011226,25.0,19.36
1011227,18.0,19.36
1011229,22.0,19.36
1011230,17.0,19.36
1011231,15.5,19.36
1011232,38.0,19.36
1011233,12.5,19.36
1011234,15.5,19.36
1011235,17.0,19.36
1011236,38.0,19.36
1011237,24.0,19.36
1011238,22.5,19.36
1011239,29.0,19.36
1011240,1.0,19.36
1011241,13.0,19.36
1011242,24.0,19.36
1011243,32.0,19.36
1011244,9.0,19.36
1011245,12.5,19.36
1011246,26.5,19.36
1011247,17.0,19.36
1011248,22.0,19.36
1011249,31.0,19.36
1011250,11.5,19.36
1011251,8.0,19.36
1011252,18.0,19.36
1011253,20.0,19.36
1011254,9.0,19.36
1011255,25.0,19.36
1011256,27.0,19.36
1011257,38.0,19.36
1011258,28.0,19.36
1011259,12.5,19.36
1011260,14.0,19.36
1011261,14.5,19.36
1011262,8.0,19.36
1011263,11.0,19.36
1011265,10.5,19.36
1011266,18.5,19.36
1011267,14.0,19.36
1011268,10.5,19.36
1011269,44.0,19.36
1011270,19.5,19.36
1011271,12.5,19.36
1011273,12.0,19.36
1011274,10.0,19.36
1011275,17.5,19.36
1011276,7.5,19.36
1011277,11.0,19.36
1011278,14.0,19.36
1011279,16.0,19.36
1011280,16.0,19.36
1011281,14.0,19.36
1011282,8.0,19.36
1011283,26.0,19.36
1011284,14.0,19.36
1011285,17.0,19.36
1011286,10.0,19.36
1011287,30.5,19.36
1011288,11.0,19.36
1011289,35.0,19.36
1011290,11.5,19.36
1011291,11.0,19.36
1011292,14.0,19.36
1011293,4.5,19.36
1011294,29.0,19.36
1011295,32.0,19.36
1011297,20.0,19.36
1011298,10.0,19.36
1011299,10.0,19.36
1011300,18.5,19.36
1011301,12.5,19.36
1011302,8.5,19.36
1011303,15.5,19.36
1011304,20.5,19.36
1011305,20.0,19.36
1011306,6.5,19.36
1011307,23.0,19.36
1011308,26.0,19.36
1011309,12.0,19.36
1011310,19.5,19.36
1011311,10.5,19.36
1011312,13.5,19.36
1011313,21.0,19.36
1011314,25.0,19.36
1011315,13.5,19.36
1011316,22.0,19.36
1011317,7.0,19.36
1011318,35.0,19.36
1011319,24.0,19.36
1011320,27.0,19.36
1011321,34.0,19.36
1011322,11.0,19.36
1011323,20.0,19.36
1011324,11.0,19.36
1011325,19.0,19.36
1011326,16.0,19.36
1011327,7.5,19.36
1011328,4.5,19.36
1011330,17.0,19.36
1011331,18.0,19.36
1011332,20.0,19.36
1011333,5.5,19.36
1011335,12.0,19.36
1011336,10.0,19.36
1011337,23.0,19.36
1011339,36.0,19.36
1011340,26.5,19.36
1011341,9.0,19.36
1011342,26.0,19.36
1011343,18.0,19.36
1011344,17.5,19.36
